what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1413059710296
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1413059710312
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1413059710343
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1413059710390
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1413059710515
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1413059710531
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1413059710656
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1413059710781
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1413059710906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413059737171
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1413059773750
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1413059774890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413059775296
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1413059776890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413059776921
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1413059776921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413059788281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413059794890
error,log,,,"Server JBoss v4.2 at localhost was unable to start within 50 seconds. If the server requires more time, try increasing the timeout in the server editor.",1413059823984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413059824390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413059824750
